#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
   8200      8.02e-01    8.33e-01      3.82e-02    3.88e-03      1.47e-01    1.32e-01      9.84e-02    1.11e-01    1.6e-05
   8300      1.03e+00    6.48e-01      4.78e-02    1.19e-01      1.39e-01    3.64e-02      2.03e-01    1.81e-01    1.5e-05
   8400      9.76e-01    5.44e-01      4.89e-02    8.94e-02      1.70e-01    1.85e-02      1.69e-01    1.62e-01    1.4e-05
   8500      1.24e+00    1.37e+00      6.99e-02    8.37e-03      1.74e-01    2.02e-01      2.40e-01    1.98e-01    1.3e-05
   8600      9.14e-01    1.45e+00      4.22e-02    8.40e-03      1.92e-01    1.98e-01      1.22e-01    2.20e-01    1.3e-05
   8700      1.30e+00    1.24e+00      1.81e-02    7.85e-02      1.83e-01    2.33e-01      2.03e-01    1.99e-01    1.2e-05
   8800      6.46e-01    1.83e+00      2.96e-02    6.31e-02      1.15e-01    2.39e-01      1.05e-01    3.88e-01    1.1e-05
   8900      1.09e+00    1.42e+00      2.22e-02    3.32e-02      1.32e-01    2.17e-01      1.80e-01    2.90e-01    1.1e-05
   9000      8.34e-01    1.07e+00      8.75e-03    7.90e-02      1.51e-01    2.21e-01      1.20e-01    1.64e-01    1.0e-05
   9100      1.26e+00    4.35e-01      2.48e-02    9.79e-02      2.02e-01    1.12e-02      1.87e-01    1.14e-01    9.8e-06
   9200      1.08e+00    1.29e+00      3.68e-02    9.65e-03      1.80e-01    2.08e-01      2.04e-01    1.93e-01    9.4e-06
   9300      1.21e+00    5.43e-01      3.48e-02    1.26e-01      1.60e-01    1.40e-02      2.26e-01    1.39e-01    8.9e-06
   9400      1.08e+00    8.20e-01      9.87e-03    5.07e-02      1.82e-01    1.78e-01      1.66e-01    1.34e-01    8.5e-06
   9500      7.65e-01    5.86e-01      2.63e-02    4.91e-02      1.36e-01    6.80e-02      1.41e-01    1.83e-01    8.0e-06
   9600      1.11e+00    9.84e-01      3.02e-02    5.29e-02      1.79e-01    2.13e-01      1.86e-01    1.71e-01    7.6e-06
   9700      8.07e-01    7.74e-01      1.87e-02    6.95e-02      1.62e-01    1.79e-01      1.26e-01    1.17e-01    7.3e-06
   9800      9.97e-01    8.10e-01      3.17e-02    4.76e-03      1.82e-01    1.51e-01      1.78e-01    1.21e-01    6.9e-06
   9900      1.17e+00    4.51e-01      5.99e-03    1.07e-01      1.76e-01    2.41e-02      1.90e-01    1.12e-01    6.2e-06
  10000      4.96e-01    4.52e-01      3.25e-02    1.16e-01      1.18e-01    1.43e-02      7.22e-02    1.07e-01    5.9e-06
  10100      6.31e-01    5.77e-01      7.59e-02    1.30e-01      5.29e-02    1.77e-02      1.94e-01    1.53e-01    5.6e-06
  10200      9.24e-01    5.21e-01      4.60e-02    4.27e-03      1.04e-01    1.83e-01      1.72e-01    2.89e-02    5.4e-06
  10300      5.97e-01    7.38e-01      6.10e-02    6.53e-02      8.82e-02    1.85e-01      1.30e-01    1.19e-01    5.1e-06
  10400      6.57e-01    6.79e-01      3.82e-02    7.48e-02      1.38e-01    1.68e-01      1.16e-01    1.04e-01    4.8e-06
  10500      9.38e-01    3.86e-01      8.86e-03    4.50e-02      2.14e-01    5.39e-02      1.47e-01    1.18e-01    4.6e-06
  10600      8.18e-01    5.30e-01      1.78e-02    1.04e-01      1.52e-01    5.79e-02      1.35e-01    1.46e-01    4.4e-06
  10700      1.32e+00    5.81e-01      1.98e-02    1.49e-02      1.95e-01    2.10e-01      2.64e-01    6.14e-02    4.2e-06
  10800      7.05e-01    6.58e-01      4.07e-02    4.23e-02      1.21e-01    8.12e-02      1.35e-01    2.16e-01    3.9e-06
  10900      8.85e-01    6.64e-01      1.57e-02    7.20e-02      1.81e-01    1.75e-01      1.52e-01    1.06e-01    3.8e-06
  11000      1.00e+00    5.06e-01      3.40e-02    1.09e-01      2.24e-01    1.21e-02      1.69e-01    1.40e-01    3.6e-06
  11100      1.06e+00    6.71e-01      5.59e-02    6.17e-02      1.24e-01    1.77e-01      2.75e-01    1.17e-01    3.4e-06
  11200      9.97e-01    1.01e+00      2.20e-02    7.94e-03      1.74e-01    1.70e-01      1.96e-01    1.69e-01    3.2e-06
  11300      7.43e-01    7.83e-01      2.05e-02    6.73e-02      1.81e-01    2.06e-01      1.25e-01    1.42e-01    3.1e-06
  11400      1.03e+00    9.28e-01      4.02e-02    8.03e-03      1.60e-01    1.54e-01      1.87e-01    1.56e-01    2.9e-06
  11500      5.78e-01    5.78e-01      2.84e-02    4.76e-02      1.49e-01    4.12e-02      1.08e-01    1.95e-01    2.8e-06
  11600      9.52e-01    6.06e-01      6.98e-03    9.41e-03      1.59e-01    2.31e-01      1.61e-01    8.58e-02    2.6e-06
  11700      1.11e+00    5.98e-01      1.02e-02    5.04e-02      1.96e-01    6.72e-02      1.87e-01    1.98e-01    2.5e-06
  11800      1.03e+00    9.24e-01      2.94e-02    6.73e-02      1.89e-01    2.17e-01      1.95e-01    1.88e-01    2.4e-06
  11900      7.61e-01    5.21e-01      2.67e-02    1.07e-01      1.78e-01    5.99e-02      1.60e-01    1.43e-01    2.3e-06
  12000      7.55e-01    5.29e-01      1.95e-02    1.20e-01      1.90e-01    8.95e-03      1.33e-01    1.42e-01    2.1e-06
  12100      7.11e-01    5.33e-01      2.14e-02    1.14e-01      1.85e-01    1.40e-02      1.34e-01    1.49e-01    2.0e-06
  12200      5.23e-01    1.19e+00      9.49e-02    3.44e-02      4.09e-02    2.63e-01      1.44e-01    2.63e-01    1.9e-06
  12300      1.01e+00    3.72e-01      3.18e-02    5.08e-03      2.15e-01    1.51e-01      2.25e-01    4.09e-02    1.8e-06
  12400      7.14e-01    5.56e-01      1.60e-02    1.20e-01      1.60e-01    6.58e-02      1.38e-01    1.48e-01    1.8e-06
  12500      6.59e-01    5.31e-01      3.03e-02    1.02e-01      1.00e-01    6.69e-02      1.29e-01    1.50e-01    1.7e-06
  12600      1.01e+00    1.28e+00      2.83e-02    9.65e-03      1.58e-01    2.37e-01      1.95e-01    2.18e-01    1.6e-06
  12700      7.09e-01    8.37e-01      6.34e-02    3.92e-03      1.16e-01    1.60e-01      1.70e-01    1.42e-01    1.5e-06
  12800      8.16e-01    8.74e-01      1.81e-02    1.44e-02      1.85e-01    2.20e-01      1.38e-01    1.92e-01    1.4e-06
  12900      8.01e-01    6.90e-01      8.06e-03    3.79e-02      1.87e-01    6.93e-02      1.36e-01    2.36e-01    1.4e-06
  13000      1.06e+00    6.34e-01      3.95e-02    3.63e-02      1.90e-01    3.47e-02      1.96e-01    2.20e-01    1.3e-06
  13100      9.02e-01    5.86e-01      3.75e-02    1.13e-01      1.89e-01    4.90e-02      1.64e-01    1.71e-01    1.2e-06
